ID,Year,Mileage,Price
"/tweedehands/ford/focus/38698589",2013,115130,10350
"/tweedehands/ford/fiesta/38698580",2012,33992,8595
"/tweedehands/ford/focus/38698559",2014,40427,14995
"/tweedehands/ford/ka/38698552",2010,75284,4950
"/tweedehands/ford/fiesta/38698355",2011,76685,7295
"/tweedehands/ford/fiesta/38698328",2013,117196,9995
"/tweedehands/ford/fiesta/38698293",2015,91768,10495
"/tweedehands/ford/focus/38698285",2012,129922,14990
"/tweedehands/ford/transit-connect/38698140",2014,68874,10950
"/tweedehands/ford/focus/38698096",2013,156023,10250
"/tweedehands/ford/focus/38698049",2010,137018,6949
"/tweedehands/ford/c-max/38698045",2013,111923,17750
"/tweedehands/ford/focus/38698000",2017,19036,22990
"/tweedehands/ford/focus/38697870",2013,156714,7945
"/tweedehands/ford/fiesta/38697675",2016,33637,13900
"/tweedehands/ford/fiesta/38697652",2010,16494,8450
"/tweedehands/ford/fiesta/38697249",2016,34972,14900
"/tweedehands/ford/b-max/38697124",2014,86470,13495
"/tweedehands/ford/fiesta/38697006",2015,16436,13880
"/tweedehands/ford/focus/38696916",2013,134702,10850
"/tweedehands/ford/grand-c-max/38696879",2014,16777,18995
"/tweedehands/ford/galaxy/38696874",2016,61167,30845
"/tweedehands/ford/focus/38696820",2012,228897,6445
"/tweedehands/ford/b-max/38696737",2015,22908,16495
"/tweedehands/ford/focus/38696333",2013,70366,13450
"/tweedehands/ford/fiesta/38696317",2015,22721,10995
"/tweedehands/ford/focus/38696256",2012,137362,8949
"/tweedehands/ford/fiesta/38696034",2013,168510,6440
"/tweedehands/ford/fiesta/38695876",2010,92591,7880
"/tweedehands/ford/fiesta/38695680",2010,117500,8250
"/tweedehands/ford/transit-custom/38695238",2015,68597,16485
"/tweedehands/ford/c-max/38695067",2014,81842,15750
"/tweedehands/ford/transit-custom/38695064",2016,13197,19485
"/tweedehands/ford/ka/38695062",2011,49144,5645
"/tweedehands/ford/fiesta/38694903",2012,58904,10950
"/tweedehands/ford/transit-custom/38694853",2017,764,20445
"/tweedehands/ford/transit/38694852",2011,76636,8485
"/tweedehands/ford/fiesta/38694326",2012,109660,6699
"/tweedehands/ford/transit-connect/38694318",2015,43429,15445
"/tweedehands/ford/focus/38694128",2013,72391,13445
"/tweedehands/ford/fiesta/38694069",2017,8497,17450
"/tweedehands/ford/ka/38694025",2015,65032,8490
"/tweedehands/ford/transit-custom/38693991",2016,13632,16945
"/tweedehands/ford/c-max/38693980",2015,23648,21995
"/tweedehands/ford/focus/38693671",2012,156000,7999
"/tweedehands/ford/fiesta/38693818",2015,64477,9900
"/tweedehands/ford/focus/38693567",2011,112190,12490
"/tweedehands/ford/fiesta/38693504",2012,65081,8380
"/tweedehands/ford/fiesta/38693130",2013,69167,9450
"/tweedehands/ford/transit-connect/38692733",2016,52875,12950
"/tweedehands/ford/focus/38692716",2015,81384,14400
"/tweedehands/ford/fiesta/38692676",2010,119756,6950
"/tweedehands/ford/mondeo/38692630",2015,44992,25950
"/tweedehands/ford/focus/38692450",2010,166097,6899
"/tweedehands/ford/focus/38691900",2016,30603,16900
"/tweedehands/ford/ka/38691859",2012,166247,3880
"/tweedehands/ford/transit/38691788",2014,92863,19950
"/tweedehands/ford/fiesta/38691357",2014,19325,14480
"/tweedehands/ford/mondeo/38691203",2015,83547,18850
"/tweedehands/ford/ranger/38691122",2011,86461,13900
"/tweedehands/ford/mondeo/38690657",2016,43215,22835
"/tweedehands/ford/focus/38690345",2012,77314,9900
"/tweedehands/ford/fiesta/38687814",2010,92000,6200
"/tweedehands/ford/mondeo/38690125",2015,43052,25790
"/tweedehands/ford/mondeo/38690033",2015,119420,21450
"/tweedehands/ford/transit-connect/38688269",2011,92766,5750
"/tweedehands/ford/ka/38687888",2014,55685,7750
"/tweedehands/ford/fiesta/38687869",2015,24785,13499
"/tweedehands/ford/fiesta/38687153",2014,59000,16950
"/tweedehands/ford/kuga/38687058",2017,19413,29900
"/tweedehands/ford/fiesta/38686911",2013,77511,9995
"/tweedehands/ford/transit-custom/38686001",2016,87573,14450
"/tweedehands/ford/focus/38685630",2012,73906,11745
"/tweedehands/ford/transit/38685318",2012,194114,6244
"/tweedehands/ford/fiesta/38685105",2017,15249,19250
"/tweedehands/ford/fiesta/38685044",2010,75198,6950
"/tweedehands/ford/focus/38685034",2013,112613,19220
"/tweedehands/ford/ka/38684812",2010,94242,5950
"/tweedehands/ford/fiesta/38684709",2010,109802,7950
"/tweedehands/ford/focus/38684361",2012,124533,9900
"/tweedehands/ford/fiesta/38684138",2015,41748,10330
"/tweedehands/ford/fiesta/38684073",2010,105852,7250
"/tweedehands/ford/fiesta/38684071",2014,48544,10940
"/tweedehands/ford/fiesta/38684039",2015,62915,13440
"/tweedehands/ford/focus/38683907",2013,134206,9900
"/tweedehands/ford/b-max/38683223",2015,27935,16345
"/tweedehands/ford/c-max/38683170",2017,10,27445
"/tweedehands/ford/c-max/38683143",2015,32666,21435
"/tweedehands/ford/transit-custom/38682714",2014,211516,15950
"/tweedehands/ford/focus/38682699",2014,47288,13950
"/tweedehands/ford/ka/38682358",2012,68979,6695
"/tweedehands/ford/focus/38682296",2016,17742,20490
"/tweedehands/ford/mondeo/38682266",2017,15994,33895
"/tweedehands/ford/fiesta/38682181",2012,132878,7880
"/tweedehands/ford/fiesta/38682163",2014,34399,12400
"/tweedehands/ford/focus/38681921",2015,61308,17660
"/tweedehands/ford/fiesta/38681787",2015,22729,10690
"/tweedehands/ford/fiesta/38681755",2012,45268,8445
"/tweedehands/ford/fiesta/38681745",2017,24200,16660
"/tweedehands/ford/fiesta/38681643",2017,18318,15880
"/tweedehands/ford/fiesta/38681528",2014,54713,9400
"/tweedehands/ford/fiesta/38681517",2017,21962,15880
"/tweedehands/ford/focus/38681429",2017,3415,24440
"/tweedehands/ford/fiesta/38681389",2014,42174,10390
"/tweedehands/ford/fiesta/38681232",2016,23968,13245
"/tweedehands/ford/fiesta/38680818",2012,88135,8950
"/tweedehands/ford/fusion/38680701",2010,44941,8950
"/tweedehands/ford/fiesta/38680571",2017,20981,16330
"/tweedehands/ford/galaxy/38680511",2013,147585,19950
"/tweedehands/ford/ka/38680502",2011,89488,6250
"/tweedehands/ford/fiesta/38680245",2017,10,20860
"/tweedehands/ford/transit-custom/38680098",2016,45589,16950
"/tweedehands/ford/c-max/38680059",2010,225877,4750
"/tweedehands/ford/fiesta/38679797",2013,59951,8000
"/tweedehands/ford/fiesta/38679957",2014,51091,8240
"/tweedehands/ford/focus/38679942",2013,179647,8745
"/tweedehands/ford/focus/38679782",2015,289012,9900
"/tweedehands/ford/fiesta/38679777",2016,29518,12450
"/tweedehands/ford/mondeo/38679619",2013,97212,13890
"/tweedehands/ford/focus/38679604",2017,23650,19440
"/tweedehands/ford/fiesta/38679422",2013,75734,9750
"/tweedehands/ford/kuga/38677950",2017,23697,28900
"/tweedehands/ford/transit-custom/38677147",2014,229595,10950
"/tweedehands/ford/focus/38676851",2012,134214,7899
"/tweedehands/ford/fiesta/38676363",2011,81209,8400
"/tweedehands/ford/fiesta/38676273",2015,30186,12750
"/tweedehands/ford/fiesta/38676207",2015,57744,9250
"/tweedehands/ford/fiesta/38675887",2013,117032,7865
"/tweedehands/ford/focus/38675139",2010,202515,5450
"/tweedehands/ford/b-max/38674915",2014,102273,13450
"/tweedehands/ford/fiesta/38674875",2014,46362,10400
"/tweedehands/ford/transit-connect/38674810",2015,137980,9774
"/tweedehands/ford/transit-connect/38674732",2011,316617,1995
"/tweedehands/ford/mondeo/38674460",2010,122514,10975
"/tweedehands/ford/focus/38674150",2012,134111,9990
"/tweedehands/ford/fiesta/38674103",2015,59000,14475
"/tweedehands/ford/focus/38674095",2013,124224,8950
"/tweedehands/ford/focus/38674054",2015,59852,17490
"/tweedehands/ford/mondeo/38674044",2015,86200,19950
"/tweedehands/ford/b-max/38674038",2014,23323,14495
"/tweedehands/ford/fiesta/38674015",2017,27368,15940
"/tweedehands/ford/mondeo/38673784",2016,21805,26945
"/tweedehands/ford/ka/38673766",2012,55860,6940
"/tweedehands/ford/focus/38673722",2016,39369,18790
"/tweedehands/ford/focus/38673623",2014,71924,13990
"/tweedehands/ford/fiesta/38673104",2011,75271,5950
"/tweedehands/ford/fiesta/38669330",2012,270532,4500
"/tweedehands/ford/focus/38668252",2013,113331,7940
"/tweedehands/ford/focus/38667727",2013,118923,10740
"/tweedehands/ford/fiesta/38667501",2013,77648,12445
"/tweedehands/ford/galaxy/38667411",2016,106066,35950
"/tweedehands/ford/fiesta/38667361",2013,89021,10950
"/tweedehands/ford/focus/38667222",2012,99713,10445
"/tweedehands/ford/focus/38666956",2013,132053,10450
"/tweedehands/ford/fiesta/38666565",2012,180498,5840
"/tweedehands/ford/b-max/38666472",2013,78340,14450
"/tweedehands/ford/ka/38665986",2010,97241,4945
"/tweedehands/ford/mondeo/38665675",2018,891,42949
"/tweedehands/ford/galaxy/38664666",2012,95704,18750
"/tweedehands/ford/fiesta/38664658",2012,163744,7450
"/tweedehands/ford/transit-courier/38664535",2016,23078,11240
"/tweedehands/ford/kuga/38664183",2018,20,40249
"/tweedehands/ford/ka/38663898",2010,120910,4250
"/tweedehands/ford/focus/38663665",2014,54035,12450
"/tweedehands/ford/ka/38663574",2012,54669,6450
"/tweedehands/ford/c-max/38663568",2017,16710,22425
"/tweedehands/ford/mondeo/38663464",2018,5000,54950
"/tweedehands/ford/transit-connect/38663290",2010,128823,5750
"/tweedehands/ford/focus/38663170",2012,103084,9440
"/tweedehands/ford/c-max/38663062",2017,10,26493
"/tweedehands/ford/fiesta/38662961",2017,26578,15945
"/tweedehands/ford/mondeo/38662391",2015,114215,22945
"/tweedehands/ford/fiesta/38662182",2017,25292,15945
"/tweedehands/ford/s-max/38661975",2011,162048,11950
"/tweedehands/ford/fiesta/38661850",2014,81324,9750
"/tweedehands/ford/fiesta/38661630",2014,55100,10400
"/tweedehands/ford/fiesta/38661391",2017,32462,15545
"/tweedehands/ford/fiesta/38661120",2010,160287,6450
"/tweedehands/ford/fiesta/38661050",2014,95169,9400
