ID,Year,Mileage,Price
"/tweedehands/bmw/4-serie/38677231",2014,120000,29900
"/tweedehands/bmw/3-serie/38676424",2014,121480,19950
"/tweedehands/bmw/x3/38676380",2010,153051,17880
"/tweedehands/bmw/2-serie/38675966",2016,23814,40995
"/tweedehands/bmw/3-serie/38675961",2013,127830,20940
"/tweedehands/bmw/2-serie/38674395",2014,62867,21495
"/tweedehands/bmw/4-serie/38674039",2018,500,59695
"/tweedehands/bmw/3-serie/38674018",2018,5000,49950
"/tweedehands/bmw/3-serie/38674019",2018,1500,49695
"/tweedehands/bmw/1-serie/38674009",2018,5000,34695
"/tweedehands/bmw/1-serie/38674008",2018,5000,32950
"/tweedehands/bmw/1-serie/38673997",2018,5000,32950
"/tweedehands/bmw/1-serie/38673556",2010,85262,10950
"/tweedehands/bmw/5-serie/38673264",2016,23671,39895
"/tweedehands/bmw/1-serie/38671537",2013,134281,14445
"/tweedehands/bmw/1-serie/38670629",2012,86345,18950
"/tweedehands/bmw/3-serie/38670275",2014,86335,28880
"/tweedehands/bmw/3-serie/38669650",2010,136965,22850
"/tweedehands/bmw/3-serie/38669341",2013,25245,32950
"/tweedehands/bmw/1-serie/38669129",2015,105641,18900
"/tweedehands/bmw/3-serie/38669077",2014,56865,19950
"/tweedehands/bmw/1-serie/38668542",2015,137227,19900
"/tweedehands/bmw/1-serie/38668115",2016,17840,23950
"/tweedehands/bmw/1-serie/38668068",2013,85636,16495
"/tweedehands/bmw/3-serie/38668021",2012,144447,16900
"/tweedehands/bmw/3-serie/38667649",2012,166551,15745
"/tweedehands/bmw/1-serie/38665672",2015,45984,24950
"/tweedehands/bmw/5-serie/38665463",2010,183399,18500
"/tweedehands/bmw/1-serie/38665282",2013,136927,16945
"/tweedehands/bmw/5-serie/38665126",2011,250973,13900
"/tweedehands/bmw/1-serie/38665041",2018,3724,42084
"/tweedehands/bmw/5-serie/38664004",2014,92354,31875
"/tweedehands/bmw/3-serie/38663777",2015,65130,26990
"/tweedehands/bmw/5-serie/38663708",2013,118111,28450
"/tweedehands/bmw/3-serie/38663677",2018,2500,55050
"/tweedehands/bmw/3-serie/38663380",2013,118820,20700
"/tweedehands/bmw/3-serie/38663375",2017,3500,39995
"/tweedehands/bmw/5-serie/38662876",2013,65421,29945
"/tweedehands/bmw/3-serie/38662848",2013,206855,12950
"/tweedehands/bmw/5-serie/38662652",2011,84874,24950
"/tweedehands/bmw/1-serie/38661689",2013,241982,13800
"/tweedehands/bmw/x3/38661610",2017,6482,58995
"/tweedehands/bmw/5-serie/38661497",2012,170357,19945
"/tweedehands/bmw/3-serie/38661372",2018,5000,65950
"/tweedehands/bmw/7-serie/38660800",2016,73031,91445
"/tweedehands/bmw/3-serie/38660657",2014,55000,24495
"/tweedehands/bmw/5-serie/38660635",2010,146984,18940
"/tweedehands/bmw/5-serie/38660313",2010,182067,19950
"/tweedehands/bmw/5-serie/38660282",2010,129303,15750
"/tweedehands/bmw/3-serie/38660145",2013,93769,20800
"/tweedehands/bmw/3-serie/38659606",2011,162641,14350
"/tweedehands/bmw/5-serie/38659033",2014,97756,42900
"/tweedehands/bmw/z4/38658993",2012,47755,31990
"/tweedehands/bmw/x1/38658973",2018,5000,61950
"/tweedehands/bmw/5-serie/38658056",2018,1256,74118
"/tweedehands/bmw/x1/38657708",2010,61199,19950
"/tweedehands/bmw/1-serie/38657701",2018,3568,47759
"/tweedehands/bmw/2-serie/38657613",2018,1369,71921
"/tweedehands/bmw/2-serie/38657581",2018,1258,52192
"/tweedehands/bmw/2-serie/38657525",2018,1385,49151
"/tweedehands/bmw/2-serie/38657461",2018,1247,57950
"/tweedehands/bmw/2-serie/38657437",2018,1478,47162
"/tweedehands/bmw/5-serie/38657406",2018,1526,87705
"/tweedehands/bmw/x1/38656679",2010,182597,13900
"/tweedehands/bmw/5-serie/38653264",2014,104426,29900
"/tweedehands/bmw/1-serie/38653103",2012,112558,13940
"/tweedehands/bmw/3-serie/38652695",2013,83751,29750
"/tweedehands/bmw/1-serie/38652189",2014,144003,15400
"/tweedehands/bmw/5-serie/38652074",2013,168244,19500
"/tweedehands/bmw/3-serie/38651089",2012,104992,17445
"/tweedehands/bmw/i3/38650739",2017,17500,39945
"/tweedehands/bmw/1-serie/38650327",2011,45406,14500
"/tweedehands/bmw/1-serie/38649862",2013,119840,13900
"/tweedehands/bmw/1-serie/38649487",2013,122250,16450
